Order Family Genus Scientific_name AdultBodyMass_g
Rodentia Cricetidae Eligmodontia Eligmodontia typus 17.37
Rodentia Cricetidae Microtus Microtus oregoni 20.35
Rodentia Cricetidae Peromyscus Peromyscus gossypinus 27.68
Macroscelidea Macroscelididae Elephantulus Elephantulus myurus 59.51
Rodentia Cricetidae Peromyscus Peromyscus boylii 23.9
Rodentia Cricetidae Phodopus Phodopus campbelli 27.06
Rodentia Cricetidae Myodes Myodes gapperi 19.83
Eulipotyphla Soricidae Sorex Sorex palustris 13.07
Rodentia Cricetidae Reithrodontomys Reithrodontomys humulis 8.25
Rodentia Cricetidae Oryzomys Oryzomys palustris 53.26
Eulipotyphla Soricidae Neomys Neomys anomalus 13.19
Eulipotyphla Soricidae Cryptotis Cryptotis parva 4.97
Eulipotyphla Soricidae Sorex Sorex cinereus 4.2
Eulipotyphla Soricidae Sorex Sorex coronatus 9.32
Dasyuromorphia Dasyuridae Sminthopsis Sminthopsis murina 17
Eulipotyphla Soricidae Suncus Suncus murinus 43.76
Eulipotyphla Soricidae Crocidura Crocidura suaveolens 7.35
Eulipotyphla Soricidae Blarina Blarina hylophaga 14.49
Eulipotyphla Soricidae Sorex Sorex fumeus 7.83
